6,6,63,63,63,63,63,63,67,67,6,63,6,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,6,6,6,6,6,6,6,67,67,63,6,6,6,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
67,67,67,67,67,67,67,67,67,67,63,6,6,6,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
67,67,67,67,67,67,67,67,67,67,63,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,6,63,63,6,6,6,6,67,67,6,6,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,63,63,6,6,6,6,6,67,67,6,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
67,67,67,67,67,67,67,67,67,67,6,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
67,67,67,67,67,67,67,67,67,67,63,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,6,6,6,6,6,6,6,6,6,6,63,63,6,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,63,6,6,6,6,6,6,6,63,63,6,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,6,63,63,63,63,63,63,63,63,63,63,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,
63,6,63,63,63,63,63,6,6,6,6,6,6,63,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,
63,63,63,63,63,63,63,1273,1273,1273,1273,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,7,7,64,64,3,4,4,4,4,5,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,1490,
63,63,63,63,63,63,63,1273,1273,1273,1273,63,63,63,64,64,64,64,64,64,64,64,64,64,64,64,64,64,7,64,60,61,61,1424,61,62,1490,1661,1490,1661,1661,1490,1490,1490,1490,1490,1490,1661,1661,1661,
63,63,63,63,63,63,63,1272,1273,1273,1274,63,63,63,7,64,6,63,6,6,6,63,63,63,63,63,6,64,7,64,60,1424,61,61,61,62,1490,1661,1661,1661,1661,1273,1273,1273,1273,1273,1273,1661,1661,1661,
6,63,63,63,6,6,6,1329,1330,1330,1331,6,6,6,64,6,6,6,6,6,6,6,6,6,6,6,6,64,7,64,60,61,61,61,61,62,1490,1661,1661,1661,1273,1273,1273,1273,1273,1273,1273,1273,1661,1661,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,6,6,6,6,64,7,64,60,172,173,61,1424,62,1490,1661,1661,1661,1273,1273,1273,1273,1273,1273,1273,1273,1661,1661,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,6,6,6,6,64,7,64,60,229,230,61,61,62,1490,1661,1661,1661,1273,1273,1273,1273,1273,1273,1273,1273,1661,1661,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,63,63,6,6,6,6,64,7,64,117,118,118,118,118,119,1490,1661,1661,1661,1273,1273,1273,1273,1273,1273,1273,1273,1661,1661,
64,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,6,6,6,6,64,7,64,64,64,64,64,64,64,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,63,63,63,6,6,6,6,64,7,64,64,64,64,64,64,64,9,9,9,9,9,9,9,9,9,9,9,9,9,1661,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,6,6,6,64,7,64,64,64,64,64,64,64,9,9,9,9,9,9,9,9,9,9,9,9,9,9,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,63,63,63,63,63,6,6,63,64,7,64,64,64,64,64,64,64,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,63,63,63,63,63,6,6,6,6,6,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661
