533,532,532,533,529,530,531,537,533,529,0,533,532,537,535,530,537,529,530,538,529,537,534,531,528,531,527,530,537,535,537,531,531,531,528,535,538,538,533,529,537,535,537,527,530,
528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,588,587,587,588,587,588,589,588,589,0,0,0,0,0,0,0,532,
531,0,0,0,0,0,0,0,521,522,522,522,523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645,644,644,645,644,645,646,645,646,0,0,0,0,0,0,0,532,
532,0,0,0,0,0,0,0,578,174,175,176,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,528,
528,0,0,0,0,0,0,0,578,231,232,233,580,0,0,0,0,0,0,0,0,0,0,0,617,618,0,0,641,0,1218,1223,1223,1223,1219,0,641,0,0,0,0,0,0,0,528,
0,0,0,0,0,0,0,0,20,288,289,290,580,0,0,0,0,0,0,0,0,0,0,0,674,675,0,0,585,0,1275,1280,1280,1280,1276,0,585,0,0,0,0,0,0,0,527,
21,466,466,466,466,466,466,466,465,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,579,579,0,0,642,0,1275,1280,1280,1280,1276,0,642,0,0,0,0,0,0,0,531,
0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,579,579,0,63,584,0,1332,0,0,0,1333,0,584,0,0,0,0,0,0,0,528,
527,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,579,579,0,0,641,0,0,49,0,49,0,0,641,0,0,0,0,0,0,0,531,
527,0,0,0,0,0,0,0,0,0,0,0,464,466,466,466,466,466,466,466,466,405,466,466,463,637,0,0,586,0,0,0,0,0,0,0,586,0,0,619,620,0,0,0,532,
529,0,0,586,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,643,0,0,0,34,0,0,0,643,0,0,676,677,0,0,0,527,
532,0,0,643,0,0,0,0,643,0,0,587,588,589,587,588,589,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,409,409,0,0,0,0,
528,0,0,585,1232,1237,1237,1233,585,0,0,644,645,646,644,645,646,0,0,0,0,692,466,466,466,466,466,466,466,466,466,466,692,466,466,466,466,466,466,463,463,466,466,466,22,
527,0,0,642,1289,1294,1294,1290,642,0,0,0,587,588,589,587,588,589,0,0,0,409,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,0,
531,0,0,584,1346,1291,1291,1347,584,0,0,0,644,645,646,644,645,646,0,0,0,409,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,528,
528,0,0,641,0,0,0,0,641,0,0,0,0,587,588,589,587,588,589,0,0,409,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,532,
530,0,0,0,0,377,378,0,0,0,0,0,0,644,645,646,644,645,646,0,0,409,0,0,0,0,0,0,0,0,0,0,409,0,0,0,0,0,0,0,0,0,0,0,527,
532,407,466,466,466,579,579,579,522,522,522,522,522,522,522,579,466,466,466,466,466,465,0,0,0,0,0,530,531,532,530,530,409,529,529,532,529,528,0,0,0,0,0,0,531,
531,409,579,579,579,579,579,579,579,579,579,579,579,579,579,579,858,859,860,0,0,0,0,0,0,0,0,531,528,528,530,527,0,527,528,527,530,527,0,0,0,0,0,0,527,
530,409,345,346,347,579,579,516,517,518,579,579,687,688,689,409,915,916,917,0,0,0,0,0,0,0,0,532,531,528,530,528,0,531,527,527,531,529,0,0,0,0,0,0,531,
529,409,402,403,404,579,579,573,574,575,579,579,744,745,746,409,972,973,974,1029,1030,1031,0,0,0,0,0,529,527,532,531,527,0,530,529,531,527,530,0,0,0,0,0,0,529,
529,409,459,460,461,579,579,630,631,632,579,579,801,802,803,409,0,0,0,1086,1087,1088,0,0,0,0,0,527,528,527,0,0,0,0,0,528,532,531,0,0,0,0,0,0,531,
527,464,466,466,466,463,463,466,466,466,463,463,466,466,466,465,0,0,0,1143,1144,1145,0,0,0,0,0,532,532,530,0,0,0,0,0,530,532,530,0,0,0,0,0,0,529,
530,530,528,529,528,530,530,528,529,527,532,532,527,528,531,527,532,527,531,527,528,529,531,531,527,529,531,529,528,532,528,530,529,528,529,528,529,532,527,532,529,528,532,528,532,
527,532,529,532,532,528,537,534,530,538,537,531,534,527,538,527,533,537,530,532,529,535,533,538,538,535,537,537,530,534,534,535,527,530,530,529,531,531,532,529,527,537,528,530,530
